"Step","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap__MAX","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap__MAX","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap__MAX"
"42","327.3809509277344","327.3809509277344","327.3809509277344","239.5238037109375","239.5238037109375","239.5238037109375","297.5","297.5","297.5"
"43","329.7674560546875","329.7674560546875","329.7674560546875","240.3488311767578","240.3488311767578","240.3488311767578","299.593017578125","299.593017578125","299.593017578125"
"44","332.04547119140625","332.04547119140625","332.04547119140625","237.0454559326172","237.0454559326172","237.0454559326172","303.75","303.75","303.75"
"45","332.66668701171875","332.66668701171875","332.66668701171875","268.6111145019531","268.6111145019531","268.6111145019531","304.0555419921875","304.0555419921875","304.0555419921875"
"46","334.13043212890625","334.13043212890625","334.13043212890625","268.2608642578125","268.2608642578125","268.2608642578125","301.63043212890625","301.63043212890625","301.63043212890625"
"47","333.61700439453125","333.61700439453125","333.61700439453125","269.09576416015625","269.09576416015625","269.09576416015625","302.2872314453125","302.2872314453125","302.2872314453125"
"48","334.79168701171875","334.79168701171875","334.79168701171875","270.41668701171875","270.41668701171875","270.41668701171875","302.91668701171875","302.91668701171875","302.91668701171875"
"49","335.51019287109375","335.51019287109375","335.51019287109375","271.1734619140625","271.1734619140625","271.1734619140625","303.21429443359375","303.21429443359375","303.21429443359375"
"50","405.20001220703125","405.20001220703125","405.20001220703125","272.5","272.5","272.5","303.79998779296875","303.79998779296875","303.79998779296875"
"51","404.558837890625","404.558837890625","404.558837890625","274.16668701171875","274.16668701171875","274.16668701171875","304.558837890625","304.558837890625","304.558837890625"
"52","405.8653869628906","405.8653869628906","405.8653869628906","324.326904296875","324.326904296875","324.326904296875","304.1346130371094","304.1346130371094","304.1346130371094"
"53","404.38677978515625","404.38677978515625","404.38677978515625","324.24530029296875","324.24530029296875","324.24530029296875","303.4433898925781","303.4433898925781","303.4433898925781"
"54","404.8148193359375","404.8148193359375","404.8148193359375","325.83331298828125","325.83331298828125","325.83331298828125","304.53704833984375","304.53704833984375","304.53704833984375"
"55","404.8636474609375","404.8636474609375","404.8636474609375","325.727294921875","325.727294921875","325.727294921875","304.4090881347656","304.4090881347656","304.4090881347656"
"56","403.03570556640625","403.03570556640625","403.03570556640625","327.3214111328125","327.3214111328125","327.3214111328125","303.83929443359375","303.83929443359375","303.83929443359375"
"57","405.21929931640625","405.21929931640625","405.21929931640625","327.9824523925781","327.9824523925781","327.9824523925781","304.0789489746094","304.0789489746094","304.0789489746094"
"58","405.9482727050781","405.9482727050781","405.9482727050781","326.72412109375","326.72412109375","326.72412109375","304.4827575683594","304.4827575683594","304.4827575683594"
"59","403.34747314453125","403.34747314453125","403.34747314453125","326.18646240234375","326.18646240234375","326.18646240234375","304.9576416015625","304.9576416015625","304.9576416015625"
"60","345.25","345.25","345.25","305.25","305.25","305.25","280.16668701171875","280.16668701171875","280.16668701171875"
"61","342.10382080078125","342.10382080078125","342.10382080078125","310.4644775390625","310.4644775390625","310.4644775390625","280.38250732421875","280.38250732421875","280.38250732421875"
"62","341.236572265625","341.236572265625","341.236572265625","310.8333435058594","310.8333435058594","310.8333435058594","280.99462890625","280.99462890625","280.99462890625"
"63","342.61907958984375","342.61907958984375","342.61907958984375","307.4603271484375","307.4603271484375","307.4603271484375","282.0635070800781","282.0635070800781","282.0635070800781"
"64","343.8020935058594","343.8020935058594","343.8020935058594","308.9583435058594","308.9583435058594","308.9583435058594","282.3958435058594","282.3958435058594","282.3958435058594"
"65","344.5641174316406","344.5641174316406","344.5641174316406","309.4871826171875","309.4871826171875","309.4871826171875","280.94873046875","280.94873046875","280.94873046875"
"66","344.7727355957031","344.7727355957031","344.7727355957031","310.1515197753906","310.1515197753906","310.1515197753906","281.3636474609375","281.3636474609375","281.3636474609375"
"67","346.9154357910156","346.9154357910156","346.9154357910156","310.1243896484375","310.1243896484375","310.1243896484375","282.81097412109375","282.81097412109375","282.81097412109375"
"68","348.186279296875","348.186279296875","348.186279296875","317.2794189453125","317.2794189453125","317.2794189453125","282.89215087890625","282.89215087890625","282.89215087890625"
"69","348.840576171875","348.840576171875","348.840576171875","317.97100830078125","317.97100830078125","317.97100830078125","281.159423828125","281.159423828125","281.159423828125"
"70","349.40478515625","349.40478515625","349.40478515625","318.5","318.5","318.5","281.3333435058594","281.3333435058594","281.3333435058594"
"71","350.3756103515625","350.3756103515625","350.3756103515625","319.4366149902344","319.4366149902344","319.4366149902344","282.69952392578125","282.69952392578125","282.69952392578125"
"72","347.5694580078125","347.5694580078125","347.5694580078125","320.625","320.625","320.625","283.0555725097656","283.0555725097656","283.0555725097656"
